fixture,degradation_kind,degradation_level,seed,width,height,laplacian_variance,sharpness_score,mean_luminance,median_luminance,luminance_std,contrast_score,shadow_clip_fraction,highlight_clip_fraction,quality_flags,opencv_version,pipeline_version
checkerboard,none,0.0,0,256,256,17026.199340820312,1.0,0.5,0.5,0.5,1.0,0.5,0.5,SHADOW_CLIPPING|HIGHLIGHT_CLIPPING,5.0.0,phase1-capture-quality-1.0.0
checkerboard,gaussian_blur,0.0,0,256,256,17026.199340820312,1.0,0.5,0.5,0.5,1.0,0.5,0.5,SHADOW_CLIPPING|HIGHLIGHT_CLIPPING,5.0.0,phase1-capture-quality-1.0.0
checkerboard,gaussian_blur,0.5,0,256,256,7694.1925048828125,1.0,0.5006211224724265,0.515686274509804,0.4795514945010875,1.0,0.389678955078125,0.389678955078125,SHADOW_CLIPPING|HIGHLIGHT_CLIPPING,5.0.0,phase1-capture-quality-1.0.0
checkerboard,gaussian_blur,1.0,0,256,256,962.091064453125,0.962091064453125,0.5051359288832721,0.5313725490196078,0.43933614466026216,1.0,0.2930908203125,0.2930908203125,SHADOW_CLIPPING|HIGHLIGHT_CLIPPING,5.0.0,phase1-capture-quality-1.0.0
checkerboard,gaussian_blur,2.0,0,256,256,135.5804443359375,0.1355804443359375,0.5113274069393382,0.5352941176470588,0.37375330454175265,0.9921568627450981,0.134246826171875,0.134246826171875,SHADOW_CLIPPING|HIGHLIGHT_CLIPPING,5.0.0,phase1-capture-quality-1.0.0
checkerboard,gaussian_blur,3.0,0,256,256,42.553466796875,0.042553466796875,0.5175422219669118,0.5352941176470588,0.3092124874666013,0.9490196078431372,0.037200927734375,0.037200927734375,BLUR_RISK,5.0.0,phase1-capture-quality-1.0.0
checkerboard,gaussian_blur,5.0,0,256,256,11.12890625,0.01112890625,0.5283955891927083,0.5352941176470588,0.18078211421870316,0.6,0.001007080078125,0.001007080078125,BLUR_RISK,5.0.0,phase1-capture-quality-1.0.0
checkerboard,gaussian_blur,8.0,0,256,256,2.53369140625,0.00253369140625,0.5347041111366422,0.5372549019607843,0.057619270641177514,0.1568627450980392,0.0,0.0,BLUR_RISK|LOW_CONTRAST,5.0.0,phase1-capture-quality-1.0.0
checkerboard,underexpose,1.0,0,256,256,17026.199340820312,1.0,0.5,0.5,0.5,1.0,0.5,0.5,SHADOW_CLIPPING|HIGHLIGHT_CLIPPING,5.0.0,phase1-capture-quality-1.0.0
checkerboard,underexpose,0.8,0,256,256,10896.767578125,1.0,0.40980392156862744,0.40980392156862744,0.40980392156862744,0.8196078431372549,0.5,0.0,SHADOW_CLIPPING,5.0.0,phase1-capture-quality-1.0.0
checkerboard,underexpose,0.6,0,256,256,6129.4317626953125,1.0,0.3156862745098039,0.3156862745098039,0.3156862745098039,0.6313725490196078,0.5,0.0,SHADOW_CLIPPING,5.0.0,phase1-capture-quality-1.0.0
checkerboard,underexpose,0.4,0,256,256,2724.19189453125,1.0,0.21568627450980393,0.21568627450980393,0.21568627450980393,0.43137254901960786,0.5,0.0,UNDEREXPOSED|SHADOW_CLIPPING,5.0.0,phase1-capture-quality-1.0.0
checkerboard,underexpose,0.25,0,256,256,1072.5,1.0,0.13529411764705881,0.13529411764705881,0.13529411764705881,0.27058823529411763,0.5,0.0,UNDEREXPOSED|SHADOW_CLIPPING,5.0.0,phase1-capture-quality-1.0.0
checkerboard,underexpose,0.15,0,256,256,378.09814453125,0.37809814453125,0.07647058823529412,0.07647058823529412,0.07647058823529412,0.15294117647058825,0.5,0.0,UNDEREXPOSED|LOW_CONTRAST|SHADOW_CLIPPING,5.0.0,phase1-capture-quality-1.0.0
checkerboard,overexpose,1.0,0,256,256,17026.199340820312,1.0,0.5,0.5,0.5,1.0,0.5,0.5,SHADOW_CLIPPING|HIGHLIGHT_CLIPPING,5.0.0,phase1-capture-quality-1.0.0
checkerboard,overexpose,1.3,0,256,256,17026.199340820312,1.0,0.5,0.5,0.5,1.0,0.5,0.5,SHADOW_CLIPPING|HIGHLIGHT_CLIPPING,5.0.0,phase1-capture-quality-1.0.0
checkerboard,overexpose,1.6,0,256,256,17026.199340820312,1.0,0.5,0.5,0.5,1.0,0.5,0.5,SHADOW_CLIPPING|HIGHLIGHT_CLIPPING,5.0.0,phase1-capture-quality-1.0.0
checkerboard,overexpose,2.0,0,256,256,17026.199340820312,1.0,0.5,0.5,0.5,1.0,0.5,0.5,SHADOW_CLIPPING|HIGHLIGHT_CLIPPING,5.0.0,phase1-capture-quality-1.0.0
checkerboard,overexpose,2.6,0,256,256,17026.199340820312,1.0,0.5,0.5,0.5,1.0,0.5,0.5,SHADOW_CLIPPING|HIGHLIGHT_CLIPPING,5.0.0,phase1-capture-quality-1.0.0
checkerboard,overexpose,3.5,0,256,256,17026.199340820312,1.0,0.5,0.5,0.5,1.0,0.5,0.5,SHADOW_CLIPPING|HIGHLIGHT_CLIPPING,5.0.0,phase1-capture-quality-1.0.0
checkerboard,reduce_contrast,1.0,0,256,256,17026.199340820312,1.0,0.5,0.5,0.5,1.0,0.5,0.5,SHADOW_CLIPPING|HIGHLIGHT_CLIPPING,5.0.0,phase1-capture-quality-1.0.0
checkerboard,reduce_contrast,0.8,0,256,256,10896.767578125,1.0,0.503921568627451,0.503921568627451,0.40980392156862744,0.8196078431372549,0.0,0.0,,5.0.0,phase1-capture-quality-1.0.0
checkerboard,reduce_contrast,0.6,0,256,256,6129.4317626953125,1.0,0.515686274509804,0.515686274509804,0.30392156862745096,0.6078431372549019,0.0,0.0,,5.0.0,phase1-capture-quality-1.0.0
checkerboard,reduce_contrast,0.4,0,256,256,2724.19189453125,1.0,0.5274509803921569,0.5274509803921569,0.2019607843137255,0.403921568627451,0.0,0.0,,5.0.0,phase1-capture-quality-1.0.0
checkerboard,reduce_contrast,0.25,0,256,256,1072.5,1.0,0.5333333333333333,0.5333333333333333,0.12549019607843137,0.25098039215686274,0.0,0.0,,5.0.0,phase1-capture-quality-1.0.0
checkerboard,reduce_contrast,0.1,0,256,256,177.00439453125,0.17700439453125,0.5372549019607843,0.5372549019607843,0.050980392156862744,0.10196078431372549,0.0,0.0,LOW_CONTRAST,5.0.0,phase1-capture-quality-1.0.0
checkerboard,glare,0.0,0,256,256,17026.199340820312,1.0,0.5,0.5,0.5,1.0,0.5,0.5,SHADOW_CLIPPING|HIGHLIGHT_CLIPPING,5.0.0,phase1-capture-quality-1.0.0
checkerboard,glare,0.3,0,256,256,15990.28012084961,1.0,0.51454330145144,0.6392156862745098,0.48738379217930905,1.0,0.362091064453125,0.5,SHADOW_CLIPPING|HIGHLIGHT_CLIPPING,5.0.0,phase1-capture-quality-1.0.0
checkerboard,glare,0.5,0,256,256,15366.76773071289,1.0,0.5260526170917585,0.7333333333333333,0.4798444633498691,1.0,0.3387908935546875,0.5,SHADOW_CLIPPING|HIGHLIGHT_CLIPPING,5.0.0,phase1-capture-quality-1.0.0
checkerboard,glare,0.7,0,256,256,14816.09825134254,1.0,0.5373250923904718,0.8176470588235294,0.4744075206859821,1.0,0.322418212890625,0.5,SHADOW_CLIPPING|HIGHLIGHT_CLIPPING,5.0.0,phase1-capture-quality-1.0.0
checkerboard,glare,0.9,0,256,256,14338.49263000465,1.0,0.5482646867340686,0.9,0.4709407795700483,1.0,0.3122100830078125,0.5,SHADOW_CLIPPING|HIGHLIGHT_CLIPPING,5.0.0,phase1-capture-quality-1.0.0
checkerboard,occlude,0.0,0,256,256,17026.199340820312,1.0,0.5,0.5,0.5,1.0,0.5,0.5,SHADOW_CLIPPING|HIGHLIGHT_CLIPPING,5.0.0,phase1-capture-quality-1.0.0
checkerboard,occlude,0.1,0,256,256,15375.173950195312,1.0,0.449371337890625,0.0,0.4974301343636257,1.0,0.550628662109375,0.449371337890625,SHADOW_CLIPPING|HIGHLIGHT_CLIPPING,5.0.0,phase1-capture-quality-1.0.0
checkerboard,occlude,0.2,0,256,256,13982.121276855469,1.0,0.400604248046875,0.0,0.4900209020987501,1.0,0.599395751953125,0.400604248046875,SHADOW_CLIPPING|HIGHLIGHT_CLIPPING,5.0.0,phase1-capture-quality-1.0.0
checkerboard,occlude,0.35,0,256,256,11291.267395019531,1.0,0.325836181640625,0.0,0.46868642435479463,1.0,0.674163818359375,0.325836181640625,SHADOW_CLIPPING|HIGHLIGHT_CLIPPING,5.0.0,phase1-capture-quality-1.0.0
checkerboard,occlude,0.5,0,256,256,8124.156188964844,1.0,0.2509765625,0.0,0.4335750541436668,1.0,0.7490234375,0.2509765625,SHADOW_CLIPPING|HIGHLIGHT_CLIPPING,5.0.0,phase1-capture-quality-1.0.0
gradient,none,0.0,0,256,256,0.03125,3.125e-05,0.5186734068627451,0.5352941176470588,0.29503772191970534,0.9254901960784314,0.0234375,0.0234375,BLUR_RISK,5.0.0,phase1-capture-quality-1.0.0
gradient,gaussian_blur,0.0,0,256,256,0.03125,3.125e-05,0.5186734068627451,0.5352941176470588,0.29503772191970534,0.9254901960784314,0.0234375,0.0234375,BLUR_RISK,5.0.0,phase1-capture-quality-1.0.0
gradient,gaussian_blur,0.5,0,256,256,0.03125,3.125e-05,0.5186734068627451,0.5352941176470588,0.29503772191970534,0.9254901960784314,0.0234375,0.0234375,BLUR_RISK,5.0.0,phase1-capture-quality-1.0.0
gradient,gaussian_blur,1.0,0,256,256,0.0078125,7.8125e-06,0.5186734068627451,0.5352941176470588,0.29498600008604653,0.9254901960784314,0.0234375,0.0234375,BLUR_RISK,5.0.0,phase1-capture-quality-1.0.0
gradient,gaussian_blur,2.0,0,256,256,0.0078125,7.8125e-06,0.5186427696078432,0.5352941176470588,0.2949366147079175,0.9254901960784314,0.0234375,0.0234375,BLUR_RISK,5.0.0,phase1-capture-quality-1.0.0
gradient,gaussian_blur,3.0,0,256,256,0.0234375,2.34375e-05,0.5186580882352941,0.5352941176470588,0.2949099809927042,0.9254901960784314,0.0234375,0.0234375,BLUR_RISK,5.0.0,phase1-capture-quality-1.0.0
gradient,gaussian_blur,5.0,0,256,256,0.0390625,3.90625e-05,0.5186274509803922,0.5352941176470588,0.29455686159648653,0.9254901960784314,0.01953125,0.01953125,BLUR_RISK,5.0.0,phase1-capture-quality-1.0.0
gradient,gaussian_blur,8.0,0,256,256,0.0703125,7.03125e-05,0.5186427696078432,0.5352941176470588,0.2935810562807809,0.9254901960784314,0.0,0.0,BLUR_RISK,5.0.0,phase1-capture-quality-1.0.0
gradient,underexpose,1.0,0,256,256,0.03125,3.125e-05,0.5186734068627451,0.5352941176470588,0.29503772191970534,0.9254901960784314,0.0234375,0.0234375,BLUR_RISK,5.0.0,phase1-capture-quality-1.0.0
gradient,underexpose,0.8,0,256,256,0.4296875,0.0004296875,0.42051164215686276,0.43137254901960786,0.24405112221855582,0.7568627450980392,0.02734375,0.0,BLUR_RISK,5.0.0,phase1-capture-quality-1.0.0
