blur_sigma,exposure_gain,reference_blur_verdict,action,reason_code,remediation_attempted,remediation_accepted,escalation_required,before_blur_verdict,canonical_blur_verdict,before_agrees_with_reference,canonical_agrees_with_reference,before_mean_luminance,before_contrast_score,before_shadow_clip_fraction,before_highlight_clip_fraction,before_laplacian_variance,before_quality_flags,canonical_mean_luminance,canonical_contrast_score,canonical_shadow_clip_fraction,canonical_highlight_clip_fraction,canonical_laplacian_variance,canonical_quality_flags
0.0,0.25,False,APPLY_GAMMA,UNDEREXPOSED_RECOVERABLE,True,True,True,True,False,False,True,0.1010897767310049,0.09803921568627451,0.0,0.0,66.61398315429688,BLUR_RISK|UNDEREXPOSED|LOW_CONTRAST,0.44131703096277575,0.1411764705882353,0.0,0.0,159.18612670898438,LOW_CONTRAST
0.0,0.5,False,APPLY_GAMMA,UNDEREXPOSED_RECOVERABLE,True,True,True,False,False,True,True,0.23703786812576594,0.16862745098039217,0.0,0.0,260.91741943359375,UNDEREXPOSED|LOW_CONTRAST,0.4429131002987132,0.17254901960784313,0.0,0.0,263.7241516113281,LOW_CONTRAST
0.0,1.0,False,NONE,CAPTURE_ACCEPTABLE,False,False,False,False,False,True,True,0.47763444489123774,0.2980392156862745,0.0,0.0,1036.1915588378906,,0.47763444489123774,0.2980392156862745,0.0,0.0,1036.1915588378906,
0.0,1.6,False,NONE,CAPTURE_ACCEPTABLE,False,False,False,False,False,True,True,0.7119651046453738,0.37254901960784315,0.0,0.0,1849.9958190917969,,0.7119651046453738,0.37254901960784315,0.0,0.0,1849.9958190917969,
0.0,2.6,False,REQUEST_RECAPTURE,HIGHLIGHT_CLIPPING_UNRECOVERABLE,False,False,True,False,False,True,True,0.9497076894722732,0.06274509803921569,0.0,0.1790618896484375,187.59677124023438,OVEREXPOSED|LOW_CONTRAST|HIGHLIGHT_CLIPPING,0.9497076894722732,0.06274509803921569,0.0,0.1790618896484375,187.59677124023438,OVEREXPOSED|LOW_CONTRAST|HIGHLIGHT_CLIPPING
1.0,0.25,True,APPLY_GAMMA,UNDEREXPOSED_RECOVERABLE,True,True,True,True,True,True,True,0.10103855507046569,0.08627450980392157,0.0,0.0,1.52264404296875,BLUR_RISK|UNDEREXPOSED|LOW_CONTRAST,0.44151497635186887,0.12549019607843137,0.0,0.0,4.689208984375,BLUR_RISK|LOW_CONTRAST
1.0,0.5,True,APPLY_GAMMA,UNDEREXPOSED_RECOVERABLE,True,True,True,True,True,True,True,0.2367834951363358,0.1450980392156863,0.0,0.0,3.4598388671875,BLUR_RISK|UNDEREXPOSED|LOW_CONTRAST,0.4428249583524816,0.14901960784313725,0.0,0.0,4.30816650390625,BLUR_RISK|LOW_CONTRAST
1.0,1.0,True,REQUEST_RECAPTURE,BLUR_NOT_REMEDIABLE,False,False,True,True,True,True,True,0.4769653918696385,0.25882352941176473,0.0,0.0,10.04132080078125,BLUR_RISK,0.4769653918696385,0.25882352941176473,0.0,0.0,10.04132080078125,BLUR_RISK
1.0,1.6,True,REQUEST_RECAPTURE,BLUR_NOT_REMEDIABLE,False,False,True,True,True,True,True,0.7132072897518382,0.3176470588235294,0.0,0.0,22.587493896484375,BLUR_RISK,0.7132072897518382,0.3176470588235294,0.0,0.0,22.587493896484375,BLUR_RISK
1.0,2.6,True,REQUEST_RECAPTURE,HIGHLIGHT_CLIPPING_UNRECOVERABLE,False,False,True,True,True,True,True,0.9501439113242953,0.054901960784313725,0.0,0.1572723388671875,4.6697998046875,BLUR_RISK|OVEREXPOSED|LOW_CONTRAST|HIGHLIGHT_CLIPPING,0.9501439113242953,0.054901960784313725,0.0,0.1572723388671875,4.6697998046875,BLUR_RISK|OVEREXPOSED|LOW_CONTRAST|HIGHLIGHT_CLIPPING
2.0,0.25,True,APPLY_GAMMA,UNDEREXPOSED_RECOVERABLE,True,True,True,True,True,True,True,0.10093982172947304,0.08235294117647059,0.0,0.0,0.584808349609375,BLUR_RISK|UNDEREXPOSED|LOW_CONTRAST,0.4416568531709559,0.12156862745098039,0.0,0.0,1.798919677734375,BLUR_RISK|LOW_CONTRAST
2.0,0.5,True,APPLY_GAMMA,UNDEREXPOSED_RECOVERABLE,True,True,True,True,True,True,True,0.23675148159849876,0.1411764705882353,0.0,0.0,1.0609130859375,BLUR_RISK|UNDEREXPOSED|LOW_CONTRAST,0.4427853453393076,0.14901960784313725,0.0,0.0,1.310638427734375,BLUR_RISK|LOW_CONTRAST
2.0,1.0,True,REQUEST_RECAPTURE,BLUR_NOT_REMEDIABLE,False,False,True,True,True,True,True,0.4768659404679841,0.25098039215686274,0.0,0.0,1.63909912109375,BLUR_RISK,0.4768659404679841,0.25098039215686274,0.0,0.0,1.63909912109375,BLUR_RISK
2.0,1.6,True,REQUEST_RECAPTURE,BLUR_NOT_REMEDIABLE,False,False,True,True,True,True,True,0.7137081370634191,0.3058823529411765,0.0,0.0,3.529022216796875,BLUR_RISK,0.7137081370634191,0.3058823529411765,0.0,0.0,3.529022216796875,BLUR_RISK
2.0,2.6,True,REQUEST_RECAPTURE,HIGHLIGHT_CLIPPING_UNRECOVERABLE,False,False,True,True,True,True,True,0.9509098426968443,0.054901960784313725,0.0,0.13580322265625,1.468292236328125,BLUR_RISK|OVEREXPOSED|LOW_CONTRAST|HIGHLIGHT_CLIPPING,0.9509098426968443,0.054901960784313725,0.0,0.13580322265625,1.468292236328125,BLUR_RISK|OVEREXPOSED|LOW_CONTRAST|HIGHLIGHT_CLIPPING
4.0,0.25,True,APPLY_GAMMA,UNDEREXPOSED_RECOVERABLE,True,True,True,True,True,True,True,0.10079573089001226,0.0784313725490196,0.0,0.0,0.372222900390625,BLUR_RISK|UNDEREXPOSED|LOW_CONTRAST,0.44189512963388483,0.11764705882352941,0.0,0.0,1.6641845703125,BLUR_RISK|LOW_CONTRAST
4.0,0.5,True,APPLY_GAMMA,UNDEREXPOSED_RECOVERABLE,True,True,True,True,True,True,True,0.23660535625382967,0.13725490196078433,0.0,0.0,0.558013916015625,BLUR_RISK|UNDEREXPOSED|LOW_CONTRAST,0.44384693818933824,0.1450980392156863,0.0,0.0,0.773468017578125,BLUR_RISK|LOW_CONTRAST
4.0,1.0,True,REQUEST_RECAPTURE,BLUR_NOT_REMEDIABLE,False,False,True,True,True,True,True,0.47676469391467524,0.24705882352941178,0.0,0.0,0.78399658203125,BLUR_RISK,0.47676469391467524,0.24705882352941178,0.0,0.0,0.78399658203125,BLUR_RISK
4.0,1.6,True,REQUEST_RECAPTURE,BLUR_NOT_REMEDIABLE,False,False,True,True,True,True,True,0.7146810494217218,0.30196078431372547,0.0,0.0,1.476837158203125,BLUR_RISK,0.7146810494217218,0.30196078431372547,0.0,0.0,1.476837158203125,BLUR_RISK
