exposure_gain,action,reason_code,remediation_attempted,remediation_accepted,escalation_required,before_mean_luminance,before_contrast_score,before_shadow_clip_fraction,before_highlight_clip_fraction,before_laplacian_variance,before_quality_flags,before_blur_risk,canonical_mean_luminance,canonical_contrast_score,canonical_shadow_clip_fraction,canonical_highlight_clip_fraction,canonical_laplacian_variance,canonical_quality_flags,canonical_blur_risk
0.05,REQUEST_RECAPTURE,SHADOW_CLIPPING_UNRECOVERABLE,False,False,True,0.012804517558976715,0.01568627450980392,0.6208953857421875,0.0,2.82763671875,BLUR_RISK|UNDEREXPOSED|LOW_CONTRAST|SHADOW_CLIPPING,True,0.012804517558976715,0.01568627450980392,0.6208953857421875,0.0,2.82763671875,BLUR_RISK|UNDEREXPOSED|LOW_CONTRAST|SHADOW_CLIPPING,True
0.15,APPLY_GAMMA,UNDEREXPOSED_RECOVERABLE,True,True,True,0.05269452263327206,0.050980392156862744,0.0,0.0,23.6971435546875,BLUR_RISK|UNDEREXPOSED|LOW_CONTRAST,True,0.44240321739047184,0.10588235294117647,0.0,0.0,128.55368041992188,LOW_CONTRAST,False
0.25,APPLY_GAMMA,UNDEREXPOSED_RECOVERABLE,True,True,True,0.1010897767310049,0.09803921568627451,0.0,0.0,66.61398315429688,BLUR_RISK|UNDEREXPOSED|LOW_CONTRAST,True,0.44131703096277575,0.1411764705882353,0.0,0.0,159.18612670898438,LOW_CONTRAST,False
0.4,APPLY_GAMMA,UNDEREXPOSED_RECOVERABLE,True,True,True,0.18495429543887867,0.1411764705882353,0.0,0.0,166.15048217773438,UNDEREXPOSED|LOW_CONTRAST,False,0.4418649710860907,0.1568627450980392,0.0,0.0,216.98626708984375,LOW_CONTRAST,False
0.6,APPLY_CLAHE,LOW_CONTRAST_RECOVERABLE,True,True,False,0.28830494600183826,0.19607843137254902,0.0,0.0,374.5694580078125,LOW_CONTRAST,False,0.3035990397135417,0.3215686274509804,0.0,0.0,2886.43701171875,,False
1.0,NONE,CAPTURE_ACCEPTABLE,False,False,False,0.47763444489123774,0.2980392156862745,0.0,0.0,1036.1915588378906,,False,0.47763444489123774,0.2980392156862745,0.0,0.0,1036.1915588378906,,False
1.6,NONE,CAPTURE_ACCEPTABLE,False,False,False,0.7119651046453738,0.37254901960784315,0.0,0.0,1849.9958190917969,,False,0.7119651046453738,0.37254901960784315,0.0,0.0,1849.9958190917969,,False
2.0,APPLY_GAMMA,OVEREXPOSED_RECOVERABLE,True,True,False,0.8218296425015319,0.24705882352941178,0.0,0.0391082763671875,420.1445617675781,OVEREXPOSED,False,0.5860715379901961,0.5490196078431373,0.0,0.0,2700.1116943359375,,False
2.6,REQUEST_RECAPTURE,HIGHLIGHT_CLIPPING_UNRECOVERABLE,False,False,True,0.9497076894722732,0.06274509803921569,0.0,0.1790618896484375,187.59677124023438,OVEREXPOSED|LOW_CONTRAST|HIGHLIGHT_CLIPPING,False,0.9497076894722732,0.06274509803921569,0.0,0.1790618896484375,187.59677124023438,OVEREXPOSED|LOW_CONTRAST|HIGHLIGHT_CLIPPING,False
3.5,REQUEST_RECAPTURE,HIGHLIGHT_CLIPPING_UNRECOVERABLE,False,False,True,0.9963770847694546,0.0196078431372549,0.0,0.90771484375,230.91024780273438,OVEREXPOSED|LOW_CONTRAST|HIGHLIGHT_CLIPPING,False,0.9963770847694546,0.0196078431372549,0.0,0.90771484375,230.91024780273438,OVEREXPOSED|LOW_CONTRAST|HIGHLIGHT_CLIPPING,False
