encoder,query_domain,query_identifier,query_class,top1_identifier,top1_class,top1_similarity,fruit_consistency_at_1,fruit_consistency_at_5,fruit_consistency_at_10,freshness_consistency_at_1,freshness_consistency_at_5,freshness_consistency_at_10,six_class_consistency_at_1,six_class_consistency_at_5,six_class_consistency_at_10,top10_identifiers,top10_classes,top10_similarities
dinov2,sultana,FreshApple/FreshApple (1).jpg,fresh_apple,test/fresh_apple/vertical_flip_Screen Shot 2018-06-08 at 5.28.42 PM.png,fresh_apple,0.8703046441078186,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,test/fresh_apple/vertical_flip_Screen Shot 2018-06-08 at 5.28.42 PM.png|test/fresh_apple/vertical_flip_Screen Shot 2018-06-08 at 5.28.48 PM.png|test/fresh_apple/rotated_by_45_Screen Shot 2018-06-08 at 5.22.20 PM.png|test/fresh_apple/Screen Shot 2018-06-08 at 5.01.22 PM.png|test/fresh_apple/rotated_by_30_Screen Shot 2018-06-08 at 5.05.06 PM.png|test/fresh_apple/Screen Shot 2018-06-08 at 5.13.31 PM.png|test/fresh_apple/saltandpepper_Screen Shot 2018-06-08 at 5.12.14 PM.png|test/fresh_apple/vertical_flip_Screen Shot 2018-06-08 at 5.13.31 PM.png|test/fresh_apple/rotated_by_60_Screen Shot 2018-06-08 at 5.05.18 PM.png|test/fresh_apple/translation_Screen Shot 2018-06-08 at 5.20.51 PM.png,fresh_apple|fresh_apple|fresh_apple|fresh_apple|fresh_apple|fresh_apple|fresh_apple|fresh_apple|fresh_apple|fresh_apple,0.87030464|0.86075938|0.83044839|0.82839859|0.82473147|0.82417440|0.82360488|0.82070267|0.81940520|0.81888437
dinov2,sultana,FreshApple/FreshApple (10).jpg,fresh_apple,test/rotten_apple/rotated_by_45_Screen Shot 2018-06-07 at 2.23.02 PM.png,rotten_apple,0.6808189153671265,1.0,1.0,1.0,0.0,0.6,0.5,0.0,0.6,0.5,test/rotten_apple/rotated_by_45_Screen Shot 2018-06-07 at 2.23.02 PM.png|test/fresh_apple/rotated_by_60_Screen Shot 2018-06-08 at 5.05.41 PM.png|test/fresh_apple/rotated_by_60_Screen Shot 2018-06-08 at 5.32.33 PM.png|test/fresh_apple/rotated_by_45_Screen Shot 2018-06-08 at 5.34.14 PM.png|test/rotten_apple/vertical_flip_Screen Shot 2018-06-07 at 2.38.28 PM.png|test/rotten_apple/rotated_by_75_Screen Shot 2018-06-07 at 2.23.24 PM.png|test/fresh_apple/rotated_by_60_Screen Shot 2018-06-08 at 5.20.51 PM.png|test/fresh_apple/rotated_by_60_Screen Shot 2018-06-08 at 5.20.32 PM.png|test/rotten_apple/rotated_by_30_Screen Shot 2018-06-07 at 3.00.56 PM.png|test/rotten_apple/rotated_by_30_Screen Shot 2018-06-08 at 2.35.03 PM.png,rotten_apple|fresh_apple|fresh_apple|fresh_apple|rotten_apple|rotten_apple|fresh_apple|fresh_apple|rotten_apple|rotten_apple,0.68081892|0.67809492|0.67686683|0.66762841|0.66380954|0.65619117|0.65102673|0.64821255|0.64558542|0.64343458
dinov2,sultana,FreshApple/FreshApple (100).jpg,fresh_apple,test/fresh_apple/rotated_by_60_Screen Shot 2018-06-08 at 5.20.32 PM.png,fresh_apple,0.7653601765632629,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,test/fresh_apple/rotated_by_60_Screen Shot 2018-06-08 at 5.20.32 PM.png|test/fresh_apple/rotated_by_75_Screen Shot 2018-06-08 at 5.02.31 PM.png|test/fresh_apple/rotated_by_45_Screen Shot 2018-06-08 at 5.22.20 PM.png|test/fresh_apple/rotated_by_75_Screen Shot 2018-06-08 at 5.26.05 PM.png|test/fresh_apple/rotated_by_45_Screen Shot 2018-06-08 at 5.20.32 PM.png|test/fresh_apple/rotated_by_45_Screen Shot 2018-06-08 at 5.01.41 PM.png|test/fresh_apple/rotated_by_15_Screen Shot 2018-06-08 at 5.25.33 PM.png|test/fresh_apple/rotated_by_30_Screen Shot 2018-06-08 at 5.21.56 PM.png|test/fresh_apple/rotated_by_60_Screen Shot 2018-06-08 at 5.33.33 PM.png|test/fresh_apple/rotated_by_60_Screen Shot 2018-06-08 at 5.27.49 PM.png,fresh_apple|fresh_apple|fresh_apple|fresh_apple|fresh_apple|fresh_apple|fresh_apple|fresh_apple|fresh_apple|fresh_apple,0.76536018|0.74655998|0.73995382|0.73924017|0.73785692|0.73040938|0.73011327|0.72988224|0.72776192|0.72697461
dinov2,sultana,FreshApple/FreshApple (101).jpg,fresh_apple,test/fresh_apple/rotated_by_75_Screen Shot 2018-06-08 at 5.26.05 PM.png,fresh_apple,0.8063969612121582,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,0.9,test/fresh_apple/rotated_by_75_Screen Shot 2018-06-08 at 5.26.05 PM.png|test/fresh_apple/rotated_by_60_Screen Shot 2018-06-08 at 5.09.17 PM.png|test/fresh_apple/rotated_by_75_Screen Shot 2018-06-08 at 5.06.40 PM.png|test/fresh_apple/rotated_by_60_Screen Shot 2018-06-08 at 5.20.32 PM.png|test/fresh_apple/rotated_by_60_Screen Shot 2018-06-08 at 5.20.51 PM.png|test/fresh_apple/rotated_by_45_Screen Shot 2018-06-08 at 5.20.51 PM.png|test/fresh_apple/rotated_by_60_Screen Shot 2018-06-08 at 5.01.22 PM.png|test/fresh_apple/rotated_by_45_Screen Shot 2018-06-08 at 5.04.05 PM.png|test/fresh_apple/rotated_by_15_Screen Shot 2018-06-08 at 5.25.33 PM.png|test/rotten_apple/saltandpepper_Screen Shot 2018-06-07 at 2.18.57 PM.png,fresh_apple|fresh_apple|fresh_apple|fresh_apple|fresh_apple|fresh_apple|fresh_apple|fresh_apple|fresh_apple|rotten_apple,0.80639696|0.80496359|0.79639113|0.79203224|0.78563219|0.78436881|0.78351724|0.78306150|0.78109848|0.77412927
dinov2,sultana,FreshApple/FreshApple (102).jpg,fresh_apple,test/fresh_apple/Screen Shot 2018-06-08 at 5.10.43 PM.png,fresh_apple,0.8097042441368103,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,0.9,test/fresh_apple/Screen Shot 2018-06-08 at 5.10.43 PM.png|test/fresh_apple/Screen Shot 2018-06-08 at 5.09.31 PM.png|test/fresh_apple/Screen Shot 2018-06-08 at 5.09.40 PM.png|test/fresh_apple/vertical_flip_Screen Shot 2018-06-08 at 5.28.10 PM.png|test/fresh_apple/rotated_by_60_Screen Shot 2018-06-08 at 5.10.37 PM.png|test/rotten_apple/saltandpepper_Screen Shot 2018-06-07 at 2.18.57 PM.png|test/fresh_apple/rotated_by_15_Screen Shot 2018-06-08 at 5.28.10 PM.png|test/fresh_apple/saltandpepper_Screen Shot 2018-06-08 at 5.28.10 PM.png|test/fresh_apple/saltandpepper_Screen Shot 2018-06-08 at 5.09.40 PM.png|test/fresh_apple/rotated_by_60_Screen Shot 2018-06-08 at 5.20.51 PM.png,fresh_apple|fresh_apple|fresh_apple|fresh_apple|fresh_apple|rotten_apple|fresh_apple|fresh_apple|fresh_apple|fresh_apple,0.80970424|0.80482787|0.80230969|0.79891688|0.79601967|0.78991985|0.78538632|0.78532559|0.78421450|0.78268296
dinov2,sultana,FreshApple/FreshApple (103).jpg,fresh_apple,test/fresh_apple/rotated_by_60_Screen Shot 2018-06-08 at 5.09.17 PM.png,fresh_apple,0.864875316619873,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,test/fresh_apple/rotated_by_60_Screen Shot 2018-06-08 at 5.09.17 PM.png|test/fresh_apple/rotated_by_75_Screen Shot 2018-06-08 at 5.26.05 PM.png|test/fresh_apple/rotated_by_75_Screen Shot 2018-06-08 at 5.06.40 PM.png|test/fresh_apple/rotated_by_45_Screen Shot 2018-06-08 at 5.01.41 PM.png|test/fresh_apple/Screen Shot 2018-06-08 at 5.09.17 PM.png|test/fresh_apple/Screen Shot 2018-06-08 at 5.15.45 PM.png|test/fresh_apple/vertical_flip_Screen Shot 2018-06-08 at 4.59.49 PM.png|test/fresh_apple/rotated_by_15_Screen Shot 2018-06-08 at 4.59.49 PM.png|test/fresh_apple/rotated_by_60_Screen Shot 2018-06-08 at 5.01.22 PM.png|test/fresh_apple/rotated_by_45_Screen Shot 2018-06-08 at 5.20.51 PM.png,fresh_apple|fresh_apple|fresh_apple|fresh_apple|fresh_apple|fresh_apple|fresh_apple|fresh_apple|fresh_apple|fresh_apple,0.86487532|0.85951656|0.85406375|0.85135472|0.84986937|0.84662247|0.84661216|0.84450507|0.84448546|0.83834857
dinov2,sultana,FreshApple/FreshApple (104).jpg,fresh_apple,test/fresh_apple/vertical_flip_Screen Shot 2018-06-08 at 5.28.42 PM.png,fresh_apple,0.8520126342773438,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,test/fresh_apple/vertical_flip_Screen Shot 2018-06-08 at 5.28.42 PM.png|test/fresh_apple/vertical_flip_Screen Shot 2018-06-08 at 5.28.48 PM.png|test/fresh_apple/rotated_by_30_Screen Shot 2018-06-08 at 5.05.06 PM.png|test/fresh_apple/Screen Shot 2018-06-08 at 5.13.31 PM.png|test/fresh_apple/rotated_by_45_Screen Shot 2018-06-08 at 5.05.18 PM.png|test/fresh_apple/rotated_by_60_Screen Shot 2018-06-08 at 5.05.18 PM.png|test/fresh_apple/rotated_by_45_Screen Shot 2018-06-08 at 5.22.20 PM.png|test/fresh_apple/vertical_flip_Screen Shot 2018-06-08 at 5.13.31 PM.png|test/fresh_apple/vertical_flip_Screen Shot 2018-06-08 at 5.04.48 PM.png|test/fresh_apple/rotated_by_15_Screen Shot 2018-06-08 at 5.02.08 PM.png,fresh_apple|fresh_apple|fresh_apple|fresh_apple|fresh_apple|fresh_apple|fresh_apple|fresh_apple|fresh_apple|fresh_apple,0.85201263|0.83284664|0.82306832|0.82010770|0.81580245|0.81570202|0.81517863|0.81311917|0.81203669|0.81089807
dinov2,sultana,FreshApple/FreshApple (105).jpg,fresh_apple,test/fresh_apple/rotated_by_45_Screen Shot 2018-06-08 at 5.34.14 PM.png,fresh_apple,0.7841830253601074,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,test/fresh_apple/rotated_by_45_Screen Shot 2018-06-08 at 5.34.14 PM.png|test/fresh_apple/rotated_by_60_Screen Shot 2018-06-08 at 5.09.17 PM.png|test/fresh_apple/rotated_by_45_Screen Shot 2018-06-08 at 5.20.51 PM.png|test/fresh_apple/rotated_by_75_Screen Shot 2018-06-08 at 5.26.05 PM.png|test/fresh_apple/Screen Shot 2018-06-08 at 5.09.17 PM.png|test/fresh_apple/rotated_by_75_Screen Shot 2018-06-08 at 5.06.40 PM.png|test/fresh_apple/translation_Screen Shot 2018-06-08 at 5.20.51 PM.png|test/fresh_apple/vertical_flip_Screen Shot 2018-06-08 at 5.06.40 PM.png|test/fresh_apple/rotated_by_60_Screen Shot 2018-06-08 at 5.20.51 PM.png|test/fresh_apple/rotated_by_60_Screen Shot 2018-06-08 at 5.27.49 PM.png,fresh_apple|fresh_apple|fresh_apple|fresh_apple|fresh_apple|fresh_apple|fresh_apple|fresh_apple|fresh_apple|fresh_apple,0.78418303|0.77500582|0.76357234|0.76211113|0.75578052|0.75545484|0.75498903|0.75311899|0.75090289|0.74996638
dinov2,sultana,FreshApple/FreshApple (106).jpg,fresh_apple,test/fresh_apple/rotated_by_60_Screen Shot 2018-06-08 at 5.20.32 PM.png,fresh_apple,0.7550081610679626,1.0,1.0,1.0,1.0,1.0,0.7,1.0,1.0,0.7,test/fresh_apple/rotated_by_60_Screen Shot 2018-06-08 at 5.20.32 PM.png|test/fresh_apple/rotated_by_45_Screen Shot 2018-06-08 at 5.34.14 PM.png|test/fresh_apple/rotated_by_45_Screen Shot 2018-06-08 at 5.20.51 PM.png|test/fresh_apple/rotated_by_60_Screen Shot 2018-06-08 at 5.20.51 PM.png|test/fresh_apple/rotated_by_60_Screen Shot 2018-06-08 at 5.09.17 PM.png|test/fresh_apple/rotated_by_75_Screen Shot 2018-06-08 at 5.26.05 PM.png|test/rotten_apple/rotated_by_30_Screen Shot 2018-06-07 at 3.00.56 PM.png|test/fresh_apple/rotated_by_45_Screen Shot 2018-06-08 at 5.22.20 PM.png|test/rotten_apple/Screen Shot 2018-06-08 at 2.26.55 PM.png|test/rotten_apple/saltandpepper_Screen Shot 2018-06-07 at 2.18.57 PM.png,fresh_apple|fresh_apple|fresh_apple|fresh_apple|fresh_apple|fresh_apple|rotten_apple|fresh_apple|rotten_apple|rotten_apple,0.75500816|0.75158453|0.74772429|0.74517125|0.74067456|0.73933280|0.73624808|0.72796357|0.72641611|0.72309023
dinov2,sultana,FreshApple/FreshApple (107).jpg,fresh_apple,test/fresh_apple/vertical_flip_Screen Shot 2018-06-08 at 5.28.42 PM.png,fresh_apple,0.8385207056999207,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,test/fresh_apple/vertical_flip_Screen Shot 2018-06-08 at 5.28.42 PM.png|test/fresh_apple/Screen Shot 2018-06-08 at 5.13.31 PM.png|test/fresh_apple/rotated_by_15_Screen Shot 2018-06-08 at 5.02.08 PM.png|test/fresh_apple/rotated_by_30_Screen Shot 2018-06-08 at 5.05.06 PM.png|test/fresh_apple/vertical_flip_Screen Shot 2018-06-08 at 5.13.31 PM.png|test/fresh_apple/vertical_flip_Screen Shot 2018-06-08 at 5.28.48 PM.png|test/fresh_apple/rotated_by_60_Screen Shot 2018-06-08 at 5.05.18 PM.png|test/fresh_apple/rotated_by_45_Screen Shot 2018-06-08 at 5.05.18 PM.png|test/fresh_apple/rotated_by_30_Screen Shot 2018-06-08 at 5.28.32 PM.png|test/fresh_apple/rotated_by_60_Screen Shot 2018-06-08 at 5.28.32 PM.png,fresh_apple|fresh_apple|fresh_apple|fresh_apple|fresh_apple|fresh_apple|fresh_apple|fresh_apple|fresh_apple|fresh_apple,0.83852071|0.83227605|0.82933348|0.82484794|0.82477140|0.82145089|0.80939001|0.80912471|0.80634868|0.80476362
